Transaction Number,Transaction Date,Transaction Type,Transaction sub type,Registration type,Is Free Hold?,Usage,Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Parking,Nearest Metro,Nearest Mall,Nearest Landmark,No. of Buyer,No. of Seller,Master Project,Project
102-16992-2024,3/28/2024 14:05,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,BUSINESS BAY,Unit,Flats,2650000,99.51,99.51,1 B/R,1,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Downtown Dubai,2,1,,TERRACES MARASI DRIVE
102-17035-2024,3/28/2024 14:07,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,BUSINESS BAY,Unit,Flats,1730000,98,98,1 B/R,1,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Downtown Dubai,1,1,,TERRACES MARASI DRIVE
102-17569-2024,3/28/2024 14:08,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,BUSINESS BAY,Unit,Flats,3295000,104.98,104.98,2 B/R,1,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Downtown Dubai,7,1,,TERRACES MARASI DRIVE
102-17578-2024,3/28/2024 14:13,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,BUSINESS BAY,Unit,Flats,2950000,140.86,140.86,1 B/R,1,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Downtown Dubai,1,1,,TERRACES MARASI DRIVE
102-17587-2024,3/28/2024 14:16,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,BUSINESS BAY,Unit,Flats,3295000,104.99,104.99,2 B/R,1,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Downtown Dubai,2,1,,TERRACES MARASI DRIVE
102-18543-2024,3/27/2024 17:02,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,ARJAN,Unit,Flats,1071983,69.52,69.52,1 B/R,1,Sharaf Dg Metro Station,Mall of the Emirates,Motor City,1,1,,Vincitore Volare
102-18804-2024,3/28/2024 10:01,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI PRODUCTION CITY,Unit,Flats,1666224,119.21,119.21,2 B/R,1,Damac Properties,Marina Mall,Sports City Swimming Academy,1,1,,Samana Portofino
102-19014-2024,3/28/2024 10:07,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,BURJ KHALIFA,Unit,Flats,4528339,183.19,183.19,2 B/R,1,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Downtown Dubai,1,1,,EXQUISITE LIVING RESIDENCES
102-19374-2024,3/28/2024 9:50,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI HILLS,Unit,Flats,1946170,88.62,88.62,2 B/R,1,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Motor City,1,1,,Lime Gardens 
102-19375-2024,3/28/2024 14:06,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI HILLS,Unit,Flats,1117090,60.26,60.26,1 B/R,1,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Motor City,1,1,,Lime Gardens 
102-19376-2024,3/28/2024 10:38,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI HILLS,Unit,Flats,1117090,60.29,60.29,1 B/R,1,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Motor City,1,1,,Lime Gardens 
102-19378-2024,3/28/2024 11:39,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI HILLS,Unit,Flats,1116110,60.21,60.21,1 B/R,1,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Motor City,1,1,,Lime Gardens 
102-19379-2024,3/28/2024 10:56,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI HILLS,Unit,Flats,1111210,59.96,59.96,1 B/R,1,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Motor City,1,1,,Lime Gardens 
102-19380-2024,3/28/2024 10:58,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI HILLS,Unit,Flats,1117090,60.26,60.26,1 B/R,1,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Motor City,1,1,,Lime Gardens 
102-19381-2024,3/28/2024 9:17,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI HILLS,Unit,Flats,1625710,90.24,90.24,2 B/R,1,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Motor City,1,1,,Lime Gardens 
102-19383-2024,3/28/2024 10:30,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI HILLS,Unit,Flats,2866390,130,130,3 B/R,2,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Motor City,1,1,,Lime Gardens 
102-19385-2024,3/28/2024 10:06,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI HILLS,Unit,Flats,1955970,89.05,89.05,2 B/R,1,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Motor City,1,1,,Lime Gardens 
102-19386-2024,3/28/2024 10:13,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI HILLS,Unit,Flats,1967730,89.55,89.55,2 B/R,1,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Motor City,1,1,,Lime Gardens 
102-19391-2024,3/28/2024 10:07,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flats,900000,80.61,80.61,1 B/R,1,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,1,1,,AVANOS
102-19406-2024,3/28/2024 15:08,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,MEYDAN ONE,Unit,Flats,600000,34.07,34.07,Studio,1,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Downtown Dubai,1,1,,Azizi Riviera 20
102-19411-2024,3/28/2024 9:46,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,BUSINESS BAY,Unit,Flats,1100000,39.81,39.81,Studio,1,Business Bay Metro Station,Dubai Mall,Downtown Dubai,1,1,,Peninsula One
102-19413-2024,3/28/2024 13:02,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,BUSINESS BAY,Unit,Flats,1630000,63.37,63.37,1 B/R,1,Business Bay Metro Station,Dubai Mall,Downtown Dubai,1,1,,Peninsula Three
102-19414-2024,3/27/2024 15:39,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flats,691932,43.89,43.89,Studio,1,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,1,1,,Luma22
102-19416-2024,3/27/2024 18:00,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,MEYDAN AVENUE,Unit,Flats,796240,54.11,54.11,2 B/R,1,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Downtown Dubai,1,1,,Azizi Gardens
102-19417-2024,3/27/2024 18:01,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Jabal Ali First,Unit,Flats,1386000,99.32,99.32,2 B/R,1,,,,1,1,,Serene Gardens 2 by Prescott
102-19418-2024,3/27/2024 18:01,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Jabal Ali First,Unit,Flats,1534500,109.79,109.79,2 B/R,1,,,,1,1,,Serene Gardens 2 by Prescott
102-19419-2024,3/27/2024 18:02,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Jabal Ali First,Unit,Flats,1309500,99.13,99.13,2 B/R,1,,,,2,1,,Serene Gardens 2 by Prescott
102-19420-2024,3/27/2024 18:02,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI SPORTS CITY,Unit,Flats,676000,37.34,37.34,Studio,1,Nakheel Metro Station,Marina Mall,Sports City Swimming Academy,2,1,,Sportz By Danube 
102-19421-2024,3/27/2024 18:02,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,MEYDAN AVENUE,Unit,Flats,1240980,83.75,83.75,2 B/R,1,Business Bay Metro Station,Dubai Mall,Downtown Dubai,2,1,,Azizi Park Avenue 
102-19422-2024,3/27/2024 18:03,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flats,860000,70.24,70.24,1 B/R,1,Dubai Internet City,Marina Mall,Sports City Swimming Academy,1,1,,Binghatti Orchid
102-19423-2024,3/27/2024 18:03,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flats,840000,66.3,66.3,1 B/R,1,Dubai Internet City,Marina Mall,Sports City Swimming Academy,1,1,,Binghatti Orchid
102-19424-2024,3/27/2024 18:04,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,MEYDAN ONE,Unit,Flats,803200,54.66,54.66,1 B/R,1,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Downtown Dubai,3,1,,Azizi Riviera 25
102-19425-2024,3/27/2024 18:05,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flats,860000,74.57,74.57,1 B/R,1,Dubai Internet City,Marina Mall,Sports City Swimming Academy,2,1,,Binghatti Orchid
102-19426-2024,3/27/2024 18:05,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Wadi Al Safa 7,Building,Villas,929657,87.99,87.99,2 B/R,,,,Hamdan Sports Complex,2,1,,Reportage Village 1 
102-19427-2024,3/27/2024 18:05,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,MEYDAN AVENUE,Unit,Flats,1355680,95.01,95.01,2 B/R,1,Business Bay Metro Station,Dubai Mall,Downtown Dubai,1,1,,Azizi Greenfield
102-19428-2024,3/27/2024 18:07,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,MEYDAN AVENUE,Unit,Flats,996100,68.92,68.92,1 B/R,1,Business Bay Metro Station,Dubai Mall,Downtown Dubai,1,1,,Azizi Park Avenue 
102-19429-2024,3/27/2024 18:09,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Jabal Ali First,Unit,Flats,2301000,162.6,162.6,3 B/R,2,ENERGY Metro Station,Ibn-e-Battuta Mall,Expo 2020 Site,2,1,,Hillside Residences 2
102-19430-2024,3/27/2024 18:09,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,BUSINESS BAY,Unit,Flats,2442460,79.15,79.15,1 B/R,1,Business Bay Metro Station,Dubai Mall,Downtown Dubai,2,1,,CANAL CROWN
102-19431-2024,3/27/2024 18:09,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,MEYDAN AVENUE,Unit,Flats,963200,65.15,65.15,1 B/R,1,Business Bay Metro Station,Dubai Mall,Downtown Dubai,1,1,,Azizi Park Avenue 
102-19432-2024,3/27/2024 18:11,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Ras Al Khor Industrial First,Unit,Flats,2370353,103.63,103.63,2 B/R,1,,,,1,1,,SOBHA ONE
102-19433-2024,3/27/2024 18:11,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Ras Al Khor Industrial First,Unit,Flats,2221630,99.95,99.95,2 B/R,1,,,,1,1,,SOBHA ONE
102-19434-2024,3/27/2024 18:11,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Ras Al Khor Industrial First,Unit,Flats,2195279,94.86,94.86,2 B/R,1,,,,1,1,,SOBHA ONE
102-19435-2024,3/27/2024 18:11,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,MEYDAN AVENUE,Unit,Flats,1365300,95.74,95.74,2 B/R,1,Business Bay Metro Station,Dubai Mall,Downtown Dubai,1,1,,Azizi Greenfield
102-19436-2024,3/27/2024 18:12,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,MEYDAN AVENUE,Unit,Flats,1350500,86.57,86.57,2 B/R,1,Business Bay Metro Station,Dubai Mall,Downtown Dubai,1,1,,Azizi Greenfield
102-19437-2024,3/27/2024 18:14,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flats,900000,70.14,70.14,1 B/R,1,Dubai Internet City,Marina Mall,Sports City Swimming Academy,1,1,,Binghatti Orchid
102-19438-2024,3/27/2024 18:14,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Zaabeel First,Unit,Flats,3795888,134.2,134.2,2 B/R,1,Al Jafiliya Metro Station,Dubai Mall,Burj Khalifa,2,1,,Address Residences Zabeel
102-19439-2024,3/27/2024 18:14,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Jabal Ali First,Unit,Flats,595200,37.01,37.01,Studio,1,,,,1,1,,Serene Gardens 2 by Prescott
102-19440-2024,3/27/2024 18:14,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Jabal Ali First,Unit,Flats,600000,37.23,37.23,Studio,1,,,,1,1,,Serene Gardens 2 by Prescott
102-19441-2024,3/27/2024 18:14,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,BUSINESS BAY,Unit,Flats,2807983,179.91,179.91,3 B/R,2,Business Bay Metro Station,Dubai Mall,Downtown Dubai,1,1,,Peninsula Four
102-19442-2024,3/27/2024 18:15,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI LAND RESIDENCE COMPLEX,Unit,Flats,488275,36.29,36.29,Studio,1,,,IMG World Adventures,1,1,,AG 9INE
102-19443-2024,3/27/2024 18:15,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Zaabeel First,Unit,Flats,3758888,130.88,130.88,2 B/R,1,Al Jafiliya Metro Station,Dubai Mall,Burj Khalifa,2,1,,Address Residences Zabeel
102-19444-2024,3/27/2024 18:15,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Zaabeel First,Unit,Flats,2109888,72.5,72.5,1 B/R,1,Al Jafiliya Metro Station,Dubai Mall,Burj Khalifa,1,1,,Address Residences Zabeel
102-19445-2024,3/27/2024 18:15,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,ARJAN,Unit,Flats,544725,37.61,37.61,Studio,1,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Motor City,1,1,,Oxford Gardens
102-19446-2024,3/27/2024 18:15,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,ARJAN,Unit,Flats,546070,37.58,37.58,Studio,1,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Motor City,1,1,,Oxford Gardens
102-19447-2024,3/27/2024 18:15,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flats,537234,37.14,37.14,Studio,1,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,1,1,,Rise Residences
102-19448-2024,3/27/2024 18:15,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Jabal Ali First,Unit,Flats,1100000,93.8,93.8,1 B/R,1,,,,1,1,,Serene Gardens 2 by Prescott
102-19449-2024,3/27/2024 18:15,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Ras Al Khor Industrial First,Unit,Flats,2145828,94.48,94.48,2 B/R,1,,,,1,1,,SOBHA ONE
102-19450-2024,3/27/2024 18:15,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,BUSINESS BAY,Unit,Flats,2408599.2,91.11,91.11,1 B/R,1,Business Bay Metro Station,Dubai Mall,Downtown Dubai,1,1,,Al Habtoor Tower
102-19451-2024,3/27/2024 18:15,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,BUSINESS BAY,Unit,Flats,14145000,407.66,407.66,4 B/R,3,Business Bay Metro Station,Dubai Mall,Downtown Dubai,1,1,,Peninsula Four
102-19452-2024,3/27/2024 18:15,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,ARJAN,Unit,Flats,1148274,80.97,80.97,1 B/R,1,Sharaf Dg Metro Station,Mall of the Emirates,Motor City,1,1,,NAS3
102-19453-2024,3/27/2024 18:15,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI SPORTS CITY,Unit,Hotel Rooms,1038350,28.72,28.72,Studio,EU,Nakheel Metro Station,Marina Mall,Sports City Swimming Academy,1,1,,The First Collection at Dubai Sports City
102-19454-2024,3/27/2024 18:16,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI SPORTS CITY,Unit,Hotel Rooms,1075000,29.11,29.11,Studio,EU,Nakheel Metro Station,Marina Mall,Sports City Swimming Academy,1,1,,The First Collection at Dubai Sports City
102-19455-2024,3/27/2024 18:16,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flats,1300000,110.41,110.41,2 B/R,1,Dubai Internet City,Marina Mall,Sports City Swimming Academy,1,1,,Binghatti Orchid
102-19456-2024,3/27/2024 18:16,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,MEYDAN AVENUE,Unit,Flats,1285380,84.86,84.86,2 B/R,1,Business Bay Metro Station,Dubai Mall,Downtown Dubai,2,1,,Azizi Park Avenue 
102-19457-2024,3/27/2024 18:17,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,BUSINESS BAY,Unit,Flats,2282000,77.78,77.78,1 B/R,1,Business Bay Metro Station,Dubai Mall,Downtown Dubai,1,1,,CANAL CROWN 2
102-19458-2024,3/27/2024 18:17,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,MEYDAN AVENUE,Unit,Flats,1354200,86.9,86.9,2 B/R,1,Business Bay Metro Station,Dubai Mall,Downtown Dubai,1,1,,Azizi Greenfield
102-19459-2024,3/27/2024 18:19,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,MAJAN,Unit,Flats,647136,40.74,40.74,Studio,1,,,,1,1,,Samana Barari Views 2
102-19460-2024,3/27/2024 18:19,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,BUSINESS BAY,Unit,Flats,6849400,240.93,240.93,4 B/R,2,Business Bay Metro Station,Dubai Mall,Downtown Dubai,1,1,,Peninsula Four
102-19461-2024,3/27/2024 18:19,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DAMAC HILLS,Unit,Flats,933000,59.72,59.72,1 B/R,1,,,Motor City,2,1,,DAMAC HILLS - GOLF GATE 2
102-19462-2024,3/27/2024 18:20,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,BUSINESS BAY,Unit,Flats,1266000,39.92,39.92,Studio,1,Business Bay Metro Station,Dubai Mall,Downtown Dubai,1,1,,CANAL CROWN 2
102-19464-2024,3/27/2024 18:20,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI SPORTS CITY,Unit,Hotel Rooms,1075000,28.62,28.62,Studio,EU,Nakheel Metro Station,Marina Mall,Sports City Swimming Academy,2,1,,The First Collection at Dubai Sports City
102-19465-2024,3/27/2024 18:20,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,BUSINESS BAY,Unit,Flats,2931828,93.45,93.45,1 B/R,1,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Downtown Dubai,1,1,,THE CRESTMARK
102-19466-2024,3/27/2024 18:20,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Zaabeel First,Unit,Flats,2205888,70.91,70.91,1 B/R,1,Al Jafiliya Metro Station,Dubai Mall,Burj Khalifa,2,1,,Address Residences Zabeel
102-19467-2024,3/27/2024 18:20,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,MEYDAN AVENUE,Unit,Flats,1249860,84.1,84.1,2 B/R,1,Business Bay Metro Station,Dubai Mall,Downtown Dubai,1,1,,Azizi Park Avenue 
102-19468-2024,3/27/2024 18:22,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,BUSINESS BAY,Unit,Flats,4234000,136.79,136.79,2 B/R,1,Business Bay Metro Station,Dubai Mall,Downtown Dubai,1,1,,CANAL CROWN 2
102-19469-2024,3/27/2024 18:22,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Marsa Dubai,Unit,Flats,3301000,68.75,68.75,1 B/R,1,,,,1,1,,DAMAC BAY 2
102-19470-2024,3/27/2024 18:22,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Shop,4923556.13,342.86,342.86,NA,14,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,4,1,,Pearl House II By Imtiaz
102-19471-2024,3/27/2024 18:22,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Zaabeel First,Unit,Flats,5456888,170.71,170.71,3 B/R,2,Al Jafiliya Metro Station,Dubai Mall,Burj Khalifa,2,1,,Address Residences Zabeel
102-19472-2024,3/27/2024 18:22,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Zaabeel First,Unit,Flats,5428888,170.71,170.71,3 B/R,2,Al Jafiliya Metro Station,Dubai Mall,Burj Khalifa,2,1,,Address Residences Zabeel
102-19473-2024,3/27/2024 18:22,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,ARJAN,Unit,Flats,778696,69.91,69.91,1 B/R,1,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Motor City,1,1,,Oxford Gardens
102-19474-2024,3/27/2024 18:23,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,MEYDAN AVENUE,Unit,Flats,585340,39.98,39.98,1 B/R,1,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Downtown Dubai,1,1,,Azizi Gardens
102-19475-2024,3/27/2024 18:24,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,MEYDAN AVENUE,Unit,Flats,1355680,95.01,95.01,2 B/R,1,Business Bay Metro Station,Dubai Mall,Downtown Dubai,1,1,,Azizi Greenfield
102-19476-2024,3/27/2024 18:26,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,MEYDAN AVENUE,Unit,Flats,1016020,65.19,65.19,1 B/R,1,Business Bay Metro Station,Dubai Mall,Downtown Dubai,1,1,,Azizi Park Avenue 
102-19477-2024,3/27/2024 18:27,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flats,550000,36.43,36.43,Studio,1,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,1,1,,Binghatti Azure
102-19478-2024,3/27/2024 18:28,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,MEYDAN AVENUE,Unit,Flats,954240,63.67,63.67,1 B/R,1,Business Bay Metro Station,Dubai Mall,Downtown Dubai,1,1,,Azizi Park Avenue 
102-19479-2024,3/27/2024 18:29,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI HARBOUR,Unit,Flats,7115888,128.37,128.37,2 B/R,1,,,,1,1,,BAYVIEW
102-19480-2024,3/27/2024 18:29,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DAMAC HILLS,Unit,Flats,1166000,60.99,60.99,1 B/R,1,,,Motor City,2,1,,DAMAC HILLS - GOLF GATE 2
102-19481-2024,3/27/2024 18:30,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI LAND RESIDENCE COMPLEX,Unit,Flats,365277,47.86,47.86,Studio,1,,,IMG World Adventures,1,1,,AG SQUARE
102-19482-2024,3/27/2024 18:30,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI LAND RESIDENCE COMPLEX,Unit,Flats,466422,36.11,36.11,Studio,1,,,IMG World Adventures,1,1,,AG 9INE
102-19483-2024,3/27/2024 18:30,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI LAND RESIDENCE COMPLEX,Unit,Flats,365277,47.86,47.86,Studio,1,,,IMG World Adventures,1,1,,AG SQUARE
102-19484-2024,3/27/2024 18:30,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flats,872000,60.23,60.23,1 B/R,1,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,1,1,,VITA GRANDE BY METEORA
102-19485-2024,3/27/2024 18:30,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,BUSINESS BAY,Unit,Flats,12098000,336.44,336.44,3 B/R,3,Business Bay Metro Station,Dubai Mall,Downtown Dubai,1,1,,Peninsula Four
102-19486-2024,3/27/2024 18:30,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Ras Al Khor Industrial First,Unit,Flats,1844596,78.79,78.79,2 B/R,1,,,,1,1,,SOBHA ONE
102-19487-2024,3/27/2024 18:30,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Shop,663272.16,41.08,41.08,NA,2,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,1,1,,Pearl House II By Imtiaz
102-19488-2024,3/27/2024 18:31,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI SPORTS CITY,Unit,Hotel Rooms,1065000,30.55,30.55,Studio,EU,Nakheel Metro Station,Marina Mall,Sports City Swimming Academy,1,1,,The First Collection at Dubai Sports City
102-19489-2024,3/27/2024 18:31,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Jabal Ali First,Unit,Flats,595200,37.06,37.06,Studio,1,,,,1,1,,Serene Gardens 2 by Prescott
102-19490-2024,3/27/2024 18:31,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flats,840000,66.3,66.3,1 B/R,1,Dubai Internet City,Marina Mall,Sports City Swimming Academy,1,1,,Binghatti Orchid
102-19491-2024,3/27/2024 18:31,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,ARJAN,Unit,Flats,1159060,85.16,85.16,1 B/R,1,Sharaf Dg Metro Station,Mall of the Emirates,Motor City,1,1,,NAS3
102-19492-2024,3/27/2024 18:31,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Zaabeel First,Unit,Flats,2118888,70.91,70.91,1 B/R,1,Al Jafiliya Metro Station,Dubai Mall,Burj Khalifa,1,1,,Address Residences Zabeel
102-19493-2024,3/27/2024 18:31,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,ARJAN,Unit,Flats,558000,37.61,37.61,Studio,1,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Motor City,1,1,,Oxford Gardens
102-19494-2024,3/27/2024 18:31,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,ARJAN,Unit,Flats,922880,76.56,76.56,1 B/R,1,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Motor City,2,1,,Oxford Gardens
102-19495-2024,3/27/2024 18:31,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,ARJAN,Unit,Flats,565000,38.29,38.29,Studio,1,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Motor City,1,1,,Oxford Gardens
102-19496-2024,3/27/2024 18:31,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,MAJAN,Unit,Flats,723168,40.74,40.74,Studio,1,,,,1,1,,Samana Barari Views 2
102-19497-2024,3/27/2024 18:31,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,MEYDAN AVENUE,Unit,Flats,803250,61.65,61.65,1 B/R,1,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Downtown Dubai,1,1,,Azizi Gardens
102-19498-2024,3/27/2024 18:33,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI SPORTS CITY,Unit,Hotel Rooms,1075000,28.62,28.62,Studio,EU,Nakheel Metro Station,Marina Mall,Sports City Swimming Academy,1,1,,The First Collection at Dubai Sports City
102-19499-2024,3/27/2024 18:33,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Jabal Ali First,Unit,Flats,650000,36.98,36.98,Studio,1,,,,1,1,,Serene Gardens 2 by Prescott
